## panes
Navigate to left pane | <S-h>
Navigate to right pane | <S-l>

## tabs
Select tab by number | gp 
Select previous tab | gh
Select next tab | gl 

## git
Current line blame | <leader>tb 
Toggle deleted | <leader>td
Preview hunk | <leader>hp
Diff this | <leader>hd

## file
Copy file path | <leader>cs

## code
Clear highlighted text | <leader>h
Find references | gr
Go to definition | gd
JSON Path to register | <leader>jp
Move line down (visual) | <A-j>
Move line up (visual) | <A-k>
Refactor rename | <leader>rn
Show line diagnostics | gl

